"";"ano";"CNAE1";"X20";"n"
"431";1965;"Atividades financeiras, de seguros e serviços relacionados ";"MG";2
"432";1965;"Atividades financeiras, de seguros e serviços relacionados ";"PB";1
"433";1965;"Atividades financeiras, de seguros e serviços relacionados ";"PE";2
"434";1965;"Atividades financeiras, de seguros e serviços relacionados ";"PR";2
"435";1965;"Atividades financeiras, de seguros e serviços relacionados ";"RS";2
"436";1965;"Atividades financeiras, de seguros e serviços relacionados ";"SC";1
"437";1965;"Atividades financeiras, de seguros e serviços relacionados ";"SP";7
"438";1965;"Atividades imobili?rias";"BA";4
"439";1965;"Atividades imobili?rias";"CE";1
"440";1965;"Atividades imobili?rias";"ES";3
"441";1965;"Atividades imobili?rias";"MG";7
"442";1965;"Atividades imobili?rias";"PA";1
"443";1965;"Atividades imobili?rias";"PR";4
"444";1965;"Atividades imobili?rias";"RJ";4
"445";1965;"Atividades imobili?rias";"RS";2
"446";1965;"Atividades imobili?rias";"SC";3
"447";1965;"Atividades imobili?rias";"SP";18
"448";1965;"Atividades profissionais, científicas e técnicas";"DF";1
"449";1965;"Atividades profissionais, científicas e técnicas";"GO";2
"450";1965;"Atividades profissionais, científicas e técnicas";"MG";2
"451";1965;"Atividades profissionais, científicas e técnicas";"PA";1
"452";1965;"Atividades profissionais, científicas e técnicas";"PB";2
"453";1965;"Atividades profissionais, científicas e técnicas";"PE";1
"454";1965;"Atividades profissionais, científicas e técnicas";"PR";3
"455";1965;"Atividades profissionais, científicas e técnicas";"RJ";2
"456";1965;"Atividades profissionais, científicas e técnicas";"RO";1
"457";1965;"Atividades profissionais, científicas e técnicas";"RS";1
"458";1965;"Atividades profissionais, científicas e técnicas";"SE";1
"459";1965;"Atividades profissionais, científicas e técnicas";"SP";9
"460";1965;"Atividades profissionais, científicas e técnicas";"TO";1
"461";1965;"Comércio; reparação de veículos automotores e motocicletas";"AL";1
"462";1965;"Comércio; reparação de veículos automotores e motocicletas";"AM";1
"463";1965;"Comércio; reparação de veículos automotores e motocicletas";"AP";1
"464";1965;"Comércio; reparação de veículos automotores e motocicletas";"BA";11
"465";1965;"Comércio; reparação de veículos automotores e motocicletas";"CE";3
"466";1965;"Comércio; reparação de veículos automotores e motocicletas";"DF";2
"467";1965;"Comércio; reparação de veículos automotores e motocicletas";"ES";5
"468";1965;"Comércio; reparação de veículos automotores e motocicletas";"GO";4
"469";1965;"Comércio; reparação de veículos automotores e motocicletas";"MA";1
"470";1965;"Comércio; reparação de veículos automotores e motocicletas";"MG";31
"471";1965;"Comércio; reparação de veículos automotores e motocicletas";"PA";3
"472";1965;"Comércio; reparação de veículos automotores e motocicletas";"PB";1
"473";1965;"Comércio; reparação de veículos automotores e motocicletas";"PE";4
"474";1965;"Comércio; reparação de veículos automotores e motocicletas";"PR";12
"475";1965;"Comércio; reparação de veículos automotores e motocicletas";"RJ";18
"476";1965;"Comércio; reparação de veículos automotores e motocicletas";"RN";3
"477";1965;"Comércio; reparação de veículos automotores e motocicletas";"RS";43
"478";1965;"Comércio; reparação de veículos automotores e motocicletas";"SC";17
"479";1965;"Comércio; reparação de veículos automotores e motocicletas";"SE";1
"480";1965;"Comércio; reparação de veículos automotores e motocicletas";"SP";75
"481";1965;"Construção";"CE";1
"482";1965;"Construção";"DF";1
"483";1965;"Construção";"MG";1
"484";1965;"Construção";"PB";1
"485";1965;"Construção";"PE";1
"486";1965;"Construção";"PR";5
"487";1965;"Construção";"RJ";1
"488";1965;"Construção";"RS";3
"489";1965;"Construção";"SP";7
